Widget,AXE,ARC,Average
Accordion,1.33,0.58,0.96
Alert,0.09,0.18,0.14
AlertDialog,1.92,1.75,1.83
Breadcrumbs,0.00,0.00,0.00
Button,0.00,0.07,0.04
Carousel,1.00,1.00,1.00
Checkbox,0.07,0.07,0.07
Combobox,1.33,1.22,1.28
Dialog,1.57,1.71,1.64
Disclosure,0.42,0.15,0.27
Feed,0.50,0.00,0.25
Link,nan,nan,nan
Listbox,1.67,1.00,1.33
Menu,0.50,0.50,0.50
MenuButton,0.17,0.17,0.17
RadioGroup,0.43,0.14,0.29
Slider,0.80,0.70,0.75
MultiThumbSlider,2.33,1.83,2.08
Spinbutton,0.20,0.60,0.40
Table,0.50,0.00,0.25
Tabs,0.86,0.14,0.50
Toolbar,1.14,1.57,1.36
Tooltip,0.14,0.15,0.14
TreeView,2.00,1.71,1.86
TreeGrid,nan,nan,nan
WindowSplitter,nan,nan,nan
