Widget	React/Chakra-UI	React/Material-UI	React/Ant-Design	React/Reakit	React/Bootstrap	React/Semantic-UI	Vue/Ant-Design	Vue/Bootstrap	Vue/Element-UI	Vue/Vuetify	Angular/Ng-Bootstrap	Angular/Angular-Material	Svelte/Carbon-Components	Svelte/Material-UI
Accordion	1.0	0.8	0.2		0.25	0.0	0.4	0.75	0.6	0.4	0.6	0.75	0.6	
Alert	1.0	1.0	1.0		1.0	0.0	0.0	1.0	1.0	1.0	1.0		1.0	
AlertDialog	1.0	0.67	0.0	0.67		0.0	0.0	0.67	0.33		0.0	0.67	1.0	1.0
Breadcrumbs	1.0	1.0	0.0		1.0	0.0	0.0	0.0	1.0	0.0			0.67	
Button	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0
Carousel			0.29		0.29		0.29	0.57	0.29	0.43	0.14			
Checkbox	0.83	0.83	0.8	0.8	0.8	0.4	0.8	0.83	1.0	0.83	0.4	0.8	0.4	0.4
Combobox		0.89	0.9			0.09	0.9		0.82	0.7	0.73	0.82	0.73	
Dialog	1.0	0.75	0.75	1.0	0.75	0.0	0.75	1.0	1.0	0.0	1.0	1.0	1.0	0.75
Disclosure	1.0	1.0	1.0	1.0	0.5	0.0	1.0	1.0	0.5	0.5	1.0	1.0	1.0	
Feed									0.0	0.0				
Link														
Listbox		1.0	1.0		0.0	0.67	0.8	0.25	0.0	0.8		1.0	0.6	0.8
Menu	0.89	0.8	0.75	1.0	0.44	0.0	0.71	0.0	0.62	0.43			0.86	0.5
MenuButton	1.0	0.75	0.5	1.0	0.75	0.0	0.0	0.0	0.5	1.0			1.0	0.5
RadioGroup	0.6	0.6	0.6	1.0	0.6	0.2	0.4	0.8	0.6	1.0	0.8	1.0	0.8	0.6
Slider	1.0	1.0	0.83		0.33		0.83		0.71	1.0		0.86	1.0	0.29
MultiThumbSlider		1.0	0.83				0.83		0.29	0.83				0.29
Spinbutton			0.0				0.0	1.0	0.0		0.2			
Table	0.75							1.0						
Tabs	1.0	1.0	1.0	1.0	0.0	0.0	0.57	1.0	1.0	0.43	0.71	0.86	0.86	0.57
Toolbar		0.33		1.0		0.0		1.0		0.33		0.33		0.33
Tooltip	1.0	1.0	0.0	1.0	1.0		0.5	1.0	1.0	0.0	1.0	1.0	0.5	1.0
TreeView		0.89	0.33				0.67		0.78	0.0		0.57	1.0	0.0
TreeGrid														
WindowSplitter														
